Vehicle_Name,Body_Style,Range_Description,Transmission_Type,Vehicle_Type,Price_Range_Lakhs,Seating_Capacity,Boot_Space,Base_Model,Top_Model,Range_Km,Boot_Space_Liters,Price_Lakhs_Min,Brand,Body_Category,Range_Category,Price_Category
Tata Nexon EV,Compact SUV,312 Km/Full Charge,Automatic,Electric,17.4,5 Seater ,350 L,XM ,Dark XZ Plus LUX ,312.0,350.0,17.4,Tata,SUV,Good,Entry
Tata Tigor EV,Subcompact Sedan,306 Km/Full Charge,Automatic,Electric,13.64,5 Seater ,316 L,XE ,XZ Plus Dual Tone ,306.0,316.0,13.64,Tata,Sedan,Good,Entry
Tata Nexon EV Max,Compact SUV,437 Km/Full Charge,Automatic,Electric,19.24,5 Seater ,350 L,XZ Plus 3.3 kW ,XZ Plus Lux 7.2 kW ,437.0,350.0,19.24,Tata,SUV,Excellent,Entry
MG ZS EV,Compact SUV,419 Km/Full Charge,Automatic,Electric,25.88,5 Seater ,448 L,Excite ,Exclusive ,419.0,448.0,25.88,MG,SUV,Excellent,Mid-Range
Hyundai Kona Electric,Compact SUV,452 Km/Full Charge,Automatic,Electric,23.98,5 Seater ,na,Premium Dual Tone ,HSE ,452.0,,23.98,Hyundai,SUV,Superior,Mid-Range
Jaguar I-Pace,Premium Midsize Sedan,470 Km/Full Charge,Automatic,Electric,112.0,5 Seater ,656 L,S ,Sportback 55 ,470.0,656.0,112.0,Jaguar,Sedan,Superior,Luxury
Audi E-Tron GT,Premium Coupe,388 Km/Full Charge,Automatic,Electric,180.0,5 Seater ,405 L,Quattro ,na,388.0,405.0,180.0,Audi,Other,Good,Luxury
BYD E6,Subcompact MPV,415 Km/Full Charge,Automatic,Electric,29.15,5 Seater ,580 L,STD ,na,415.0,580.0,29.15,BYD,Other,Excellent,Mid-Range
Mercedes-Benz EQC,Compact SUV,471 Km/Full Charge,Automatic,Electric,100.0,5 Seater ,na,na,na,471.0,,100.0,Mercedes-Benz,SUV,Superior,Luxury
BMW iX,Premium Fullsize SUV,425 Km/Full Charge,Automatic,Electric,116.0,5 Seater ,na,na,na,425.0,,116.0,BMW,SUV,Excellent,Luxury
Porsche Taycan,Premium Sports Sedan,na,Automatic,Electric,150.0,4 Seater ,na,na,na,,,150.0,Porsche,Sedan,,Luxury
Audi E-Tron,Compact SUV,400 Km/Full Charge,Automatic,Electric,119.0,5 Seater ,660 L,na,na,400.0,660.0,119.0,Audi,SUV,Good,Luxury
